Book Name,Author,Rating,Customers_Rated,Price
Ikigai: The Japanese secret to a long and happy life,Héctor García,4.6 out of 5 stars,"20,555",₹290.00
My First Library: Boxset of 10 Board Books for Kids,Wonder House Books,4.5 out of 5 stars,"33,073",₹399.00
The Psychology of Money,Morgan Housel,4.6 out of 5 stars,"15,122",₹253.00
Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,Robert T. Kiyosaki,4.6 out of 5 stars,"45,873",₹317.00
Atomic Habits: The life-changing million copy bestseller,James Clear,4.6 out of 5 stars,"24,046",₹542.00
Word Power Made Easy,Norman Lewis,4.4 out of 5 stars,"25,681",₹91.00
My First Book of Pencil Control : Practice Pattern Writing (Full Color Pages): Patterns Practice book for kids (Pattern…,Wonder House Books,4.4 out of 5 stars,"9,393",₹89.00
World’s Greatest Books For Personal Growth & Wealth (Set of 4 Books): Perfect Motivational Gift Set,Dale Carnegie,4.5 out of 5 stars,"10,683",₹299.00
Picture Books Collection for Early Learning (Set of 12),E C Axus,4.3 out of 5 stars,"9,299",₹230.00
"Educart TERM 1 Objective Question Bank Bundle - Maths, Science, English & SST Books For Class 10 CBSE 2022 (100s of Term…",Educart,4.6 out of 5 stars,3,₹499.00
"Grandma's Bag of Stories: Collection of 20+ Illustrated short stories, traditional Indian folk tales for all ages for…",Sudha Murty,4.6 out of 5 stars,"8,333",₹192.00
"My First Mythology Tale (Illustrated) (Set of 5 Books) - Mahabharata, Krishna, Hanuman, Ganesha, Ramayana - Story Book…",Maple Press,4.4 out of 5 stars,"1,121",₹131.00
The Alchemist,Paulo Coelho,4.6 out of 5 stars,"62,195",₹182.00
Quantitative Aptitude for Competitive Examinations,R S Aggarwal,4.4 out of 5 stars,"16,375",₹448.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Biology,MTG Editorial Board,4.6 out of 5 stars,"3,709",₹543.00
Very First Sight Words Sentences Level - 1,Dreamland Publications,4.5 out of 5 stars,"5,517",₹140.00
Indian Polity - For Civil Services and Other State Examinations | 6th Edition,M. Laxmikanth,4.6 out of 5 stars,"13,879",₹608.00
"Writing Practice Boxset: Pack of 4 Books (Writing Fun: Write and Practice Capital Letters, Small Letters, Patterns and…",Wonder House Books,4.3 out of 5 stars,"4,891",₹159.00
KAREENA KAPOOR KHAN’S PREGNANCY BIBLE: The ultimate manual for moms-to-be,Kareena Kapoor,1.9 out of 5 stars,6,₹323.00
Attitude Is Everything: Change Your Attitude ... Change Your Life!,Jeff Keller,4.5 out of 5 stars,"11,848",₹133.00
"Karma: A Yogi's Guide to Crafting Your Destiny NEW YORK TIMES, USA TODAY, and PUBLISHERS WEEKLY BESTSELLER , must-read…",Sadhguru,4.7 out of 5 stars,"3,689",₹195.00
As a Man Thinketh,James Allen,4.4 out of 5 stars,"3,650",₹59.00
Oxford Student Atlas for India - Third Edition,Oxford University Press,4.6 out of 5 stars,"9,076",₹213.00
Great Stories for Children,Ruskin Bond,4.5 out of 5 stars,"6,033",₹117.00
101 Panchatantra Stories for Children: Colourful Illustrated Stories,Om Books Editorial Team,4.5 out of 5 stars,"3,036",₹138.00
Moral Story Books for Kids (Pack of 10 Books) | 160 Total Pages | Illustrated Stories,Young Angels Publishing,4.3 out of 5 stars,"1,638",₹225.00
General Knowledge,Dr. Binay Karna,4.4 out of 5 stars,"14,348",₹192.00
Educart MATHEMATICS Term 1 Objective Question Bank Class 10 CBSE 2022 (100s of New Pattern MCQs Per Chapter),Educart,4.0 out of 5 stars,1,₹199.00
Man's Search For Meaning: The classic tribute to hope from the Holocaust,Viktor E Frankl,4.5 out of 5 stars,"33,763",₹171.00
PMF IAS Environment 2021-22,PMF IAS,4.8 out of 5 stars,26,₹640.00
26 Years UPSC IAS/ IPS Prelims Topic-wise Solved Papers 1 & 2 (1995 - 2020) 11th Edition,Mrunal Patel,4.5 out of 5 stars,"4,102",₹308.00
Animals Tales From Panchtantra: Timeless Stories for Children From Ancient India,Wonder House Books,4.6 out of 5 stars,"1,496",₹159.00
The Intelligent Investor (English) Paperback – 2013,Benjamin Graham,4.5 out of 5 stars,"26,987",₹479.00
"The Magic of the Lost Temple: Illustrated, easy to read and much-loved first full length children’s fiction novel by…",Sudha Murty,4.7 out of 5 stars,"3,820",₹136.00
Think Like a Monk: The secret of how to harness the power of positivity and be happy now,Jay Shetty,4.7 out of 5 stars,"16,741",₹286.00
Life's Amazing Secrets: How to Find Balance and Purpose in Your Life,Gaur Gopal Das,4.6 out of 5 stars,"10,294",₹170.00
"Brain Games for Clever Kids: Puzzles to Exercise Your Mind (Buster Brain Games, 1)",Gareth Moore,4.3 out of 5 stars,"5,655",₹180.00
A Brief History of Modern India - 2020-21/edition,Rajiv Ahir,4.4 out of 5 stars,"1,457",₹249.00
Sapiens: A Brief History of Humankind,Yuval Noah Harari,4.7 out of 5 stars,"36,735",₹431.00
A Modern Approach To Verbal & Non-Verbal Reasoning (2 Colour Edition),R.S. Aggarwal,4.4 out of 5 stars,"7,345",₹499.00
One Arranged Murder,Chetan Bhagat,4.3 out of 5 stars,"13,152",₹133.00
Activity Books Collection for Early Learning by InIkao : Set of 8 Activity Books for Kindergarten kids,InIkao,4.2 out of 5 stars,846,₹129.00
Wren & Martin High School English Grammar And Composition Book (Regular Edition),Rao N,4.5 out of 5 stars,"5,866",₹311.00
Wuthering Heights,Emily Brontë,4.5 out of 5 stars,"13,271",₹99.00
The Richest Man in Babylon,George S. Clason,4.5 out of 5 stars,"20,716",₹99.00
"My First 1000 Words: Early Learning Picture Book to Learn Alphabet, Numbers, Shapes and Colours, Transport, Birds and…",Wonder House Books,4.5 out of 5 stars,"3,184",₹149.00
Objective General English,S.P. Bakshi,4.3 out of 5 stars,"9,190",₹196.00
Bhagavad Gita: Yatharoop - Hindi,A.C. Bhaktivendanta Swami Prabhupada,4.7 out of 5 stars,"8,651",₹179.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"38,450",₹99.00
General Knowledge 2022,Manohar Pandey,4.3 out of 5 stars,750,₹128.00
Objective NCERT at your Fingertips for NEET-AIIMS - Chemistry,MTG Editorial Board,4.5 out of 5 stars,"1,120",₹430.00
Certificate Physical And Human Geography; Indian Edition,Goh Cheng Leong,4.5 out of 5 stars,"7,926",₹325.00
"Samanya Hindi Practice Booklet for teaching exams (DSSSB, KVS, NVS, HTET, UPTET, Etc.) by Arun Sir",UNIFOX PUBLICATION,5.0 out of 5 stars,6,₹199.00
"Educart TERM 1 Objective Question Bank Bundle - Maths, Science, English,SST & Hindi A Books For Class 10 CBSE 2022 (100s…",Educart,-1,0,₹765.00
"Thinking, Fast and Slow (Penguin Press Non-Fiction)",Daniel Kahneman,4.4 out of 5 stars,"19,953",₹348.00
The Monk Who Sold His Ferrari,Robin Sharma,4.5 out of 5 stars,"16,222",₹191.00
Think and Grow Rich,Napoleon Hill,4.5 out of 5 stars,"54,440",₹141.00
My First All in One: Bilingual Picture Book for Kids Hindi-English,Wonder House Books,4.4 out of 5 stars,"1,393",₹99.00
505 Activities For Kids,Dreamland Publications,4.4 out of 5 stars,"4,593",₹169.00
"Children's Encyclopedia - Scientists, Inventions And Discoveries: The World of Knowledge",MANASVI VOHRA,4.3 out of 5 stars,"2,495",₹120.00
Pride & Prejudice,Jane Austen,4.5 out of 5 stars,"22,103",₹101.00
Wings of Fire: An Autobiography of Abdul Kalam,Arun Tiwari,4.6 out of 5 stars,"8,685",₹242.00
My First Complete Learning Library: Boxset of 20 Board Books Gift Set for Kids (Horizontal Design),Wonder House Books,4.6 out of 5 stars,"6,334",₹799.00
"Three Thousand Stitches: Ordinary People, Extraordinary Lives",Sudha Murty,4.6 out of 5 stars,"4,596",₹168.00
The Blue Umbrella,Ruskin Bond,4.5 out of 5 stars,"7,021",₹95.00
Apke Avchetan Man Ki Shakti (The Power of your Subconscious Mind in Hindi),Joseph Murphy,4.4 out of 5 stars,"4,343",₹99.00
Very First Sight Words Sentences Level - 2,Dreamland Publications,4.6 out of 5 stars,"2,287",₹135.00
Eat That Frog!: 21 Great Ways to Stop Procrastinating and Get More Done in Less Time,Brian Tracy,4.6 out of 5 stars,"3,621",₹185.00
"The Silent Patient: The record-breaking, multimillion copy Sunday Times bestselling thriller and Richard & Judy book…",Alex Michaelides,4.5 out of 5 stars,"76,163",₹290.00
Objective NCERT at your FINGERTIPS for NEET-AIIMS - Physics,MTG Editorial Board,4.5 out of 5 stars,"1,152",₹440.00
Ruskin Bond - Best Selling Children Story Books Collection (Set of 4 Books),Ruskin Bond,4.5 out of 5 stars,"1,878",₹419.00
The Theory of Everything: The Origin and Fate of the Universe,Stephen Hawking,4.6 out of 5 stars,"7,348",₹141.00
"The 5 AM Club: Own Your Morning, Elevate Your Life",Robin Sharma,4.5 out of 5 stars,"14,440",₹231.00
Autobiography of a Yogi,Paramahansa Yogananda,4.6 out of 5 stars,"4,524",₹99.00
Deep Work: Rules for Focused Success in a Distracted World,Cal Newport,4.5 out of 5 stars,"7,861",₹278.00
SSC Constable GD Exam Guide 2021,Arihant Experts,4.2 out of 5 stars,135,₹170.00
T.S. Grewal's Double Entry Book Keeping: Accounting for Companies -( Vol. 2)Textbook for CBSE Class 12 (2021-22 Session),T.S. Grewal,4.4 out of 5 stars,117,₹294.00
Who Will Cry When You Die?,Robin Sharma,4.5 out of 5 stars,"10,574",₹128.00
The Power of Your Subconscious Mind,Joseph Murphy,4.5 out of 5 stars,"38,450",₹159.00
The Official Cambridge Guide To Ielts Student's Book With Answers With Dvd Rom,Pauline Cullen,4.4 out of 5 stars,"3,199",₹350.00
How to Crack Test Of Reasoning- REVISED EDITION,Jaikishan,4.4 out of 5 stars,"2,673",₹149.00
My First Little Librarian: Boxset of 12 Best Board Books for Kids,THE BOOK TREE,4.5 out of 5 stars,967,₹405.00
Metamorphosis,Franz Kafka,4.5 out of 5 stars,"4,240",₹70.00
Peppa Pig: Little Library,Peppa Pig,4.3 out of 5 stars,"14,997",₹226.00
Indian Art and Culture for Civil Services and other Competitive Examinations,Nitin Singhania,4.6 out of 5 stars,"4,180",₹542.00
Death; An Inside Story: A book for all those who shall die,Sadhguru,4.7 out of 5 stars,"6,437",₹193.00
The Illustrated Stories Of Akbar and Birbal: Classic Tales From India,Wonder House Books,4.6 out of 5 stars,"1,107",₹159.00
All set to Read-A Phonic Reader-Level 1- PHONICS READERS- 6 books in a Box: Box set,Om Books Editorial Team,4.5 out of 5 stars,951,₹499.00
Nationalism,Rabindranath Tagore,4.5 out of 5 stars,"2,722",₹70.00
"How the Earth Got Its Beauty: Puffin Chapter Book: Gorgeous new full colour, illustrated chapter book for young readers…",Sudha Murty,5.0 out of 5 stars,2,₹199.00
Rich Dad Poor Dad - 20Th Anniversary Edition - Hindi,Robert T. Kiyosaki,4.5 out of 5 stars,"6,774",₹237.00
Concept of Physics Part-1 (2019-2020 Session) by H.C Verma,H.C. Verma,4.6 out of 5 stars,"7,042",₹380.00
Cracking the Coding Interview (Indian Edition),Gayle Laakmann McDowell,4.6 out of 5 stars,"1,475",₹580.00
A Man Called Ove: The life-affirming bestseller that will brighten your day,Fredrik Backman,4.6 out of 5 stars,"28,785",₹257.00
Oswaal CBSE Question Bank Class 10 Science Book Chapter-wise & Topic-wise Includes Objective Types & MCQ's [Combined…,Oswaal Editorial Board,4.3 out of 5 stars,162,₹364.00
Super 10 Mock Tests for New Pattern NTA NEET (UG) 2021 - 5th Edition,Disha Experts,4.7 out of 5 stars,16,₹225.00
An Intimate Note to the Sincere Seeker,Gurudev Sri Sri Ravi Shankar,4.8 out of 5 stars,14,₹699.00
